id,pledged,goal,backers_count,state,spotlight,staff_pick,is_starrable,disable_communication,created_at,launched_at,state_changed_at,deadline,category_id,category_name,creator_id,location_id,location_state,name,blurb,slug
1475055746,1795,1000,38,"successful",True,False,False,False,1292264696,1292456576,1294376342,1294376340,37,"Country & Folk",1852350061,2368305,"VT","Windborne Trio: with wand'ring feet","Windborne needs your help in producing with wand'ring feet, our first trio CD of folk songs from Europe and North America!","windborne-trio-with-wandring-feet"
2084648657,5,17500,1,"failed",False,False,False,False,1447391852,1447863587,1451669641,1451669640,44,"World Music",1224641198,2378426,"NC","PAY 2 PLAY DONATIONS (FREEWILL)","Hello and welcome to the P2P Donations here we are raising promotional funds to help our brother King Propane.","pay-2-play-donations-freewill"
2135236976,1185,900,33,"successful",True,False,False,False,1290133440,1291349364,1293236641,1293236640,47,"Fiction",774404897,2493227,"LA","""My Cloven Feet,"" Chris Jay's First Book","""My Cloven Feet"" is a collection of five short stories written 2004-2009 by Chris Jay, totaling around 70 pages.  ","my-cloven-feet-chris-jays-first-book"
48225215,2,500000,2,"failed",False,False,False,False,1455551159,1455641242,1458229643,1458229642,51,"Software",364407372,2458410,"CT","Web App Store","A place where all your apps live, no more: app updates, device memory used, building for specific platforms, battery drain and more!","web-app-store"
640931946,32396,30000,177,"successful",True,False,False,False,1347433255,1364272283,1367798340,1367798340,15,"Photography",1262068649,2442047,"CA","Future Presidents","If you could inspire a future American president, would you? Our goal is to inspire children and their parents to always dream big.","future-presidents"
593068458,1840,1000,35,"successful",True,False,False,False,1508940388,1510858774,1511722775,1511722774,337,"Gadgets",1930642926,2459115,"NY","TODO-The next big thing! All-in-one device that you need!","Imagine having a power bank, flashlight, three hard disc drives and a MP3 player, all neatly packed into a single gadget!This is TODO","todo-the-next-big-thing-all-in-one-device-that-you"
881362373,2,100,2,"failed",False,False,False,False,1421866865,1422652885,1423948886,1423948885,20,"Conceptual Art",334476691,2457170,"TN","Food Man","One day I saw someone who had food all over his face. We called him Food Man. I want to see him again because it was funny.","food-man"
731661744,9344,49375,40,"failed",False,False,False,False,1418838294,1423124046,1425716051,1425716046,308,"Events",290117033,2487718,"WA","Camp RAHH! : All-Inclusive Summer Camp Experience for Adults","An all-inclusive summer camp & urban detox experience in the Pacific NW where adults come to play, unplug, refresh and reconnect.","camp-rahh-all-inclusive-summer-camp-experience-for"
1534405225,898,100000,2,"failed",False,False,False,False,1438982862,1440189452,1443682740,1443682740,51,"Software",1350112584,2362031,"WA","WinDocks:  Opening Windows to Docker Containers","WinDocks delivers .NET and SQL Server apps running in Docker containers on Windows Server 2012.","windocks-opening-windows-to-docker-containers"
1885169269,2097,6700,22,"failed",False,False,False,False,1312409673,1314256586,1316848586,1316848586,38,"Electronic Music",503285304,2487956,"CA","Egypt Initiate CD/DVD album","Audio-visual album constructed of psycho-acoustically recorded and processed sounds and footage filmed during a 20-day Egypt expedition","egypt-initiate-cd-dvd-album"
1851930055,0,1000000,0,"failed",False,False,False,False,1427147361,1427210455,1432394457,1432394455,332,"Apps",1596270902,2451822,"WI","AirSnack","This app will help you get healthy & affordable snack right at the gate when you Fly!","airsnack"
1429573680,318,6615,17,"failed",False,False,False,False,1435448863,1442867703,1446249614,1446249600,250,"Comic Books",1701391424,2391279,"CO","Jamie & Daniele DIM :: Vol. I","Daniele DIM—dark, dim; the shadow of the girl she used to be. On her own battling every living moment; should she love or simply die.","jamie-and-daniele-dim-vol-i"
153905476,770,5000,9,"failed",False,False,False,False,1448261935,1448302755,1453486756,1453486755,311,"Food Trucks",1905560806,2376432,"OR","Mama Angie's Ladles of Love","I am starting this project to assist me in getting a food cart. Serving the valley fresh, homemade, affordable food. Made with love <3","mama-angies-ladles-of-love"
118441189,28515,22000,374,"successful",True,False,False,False,1358031766,1390312830,1392904830,1392904830,9,"Fashion",678444944,2424766,"TX","jake joseph | Redefining Men’s Underwear","jake joseph | The 1st underwear made to last. For him, loved by her.","jake-joseph-redefining-mens-underwear"
652564946,1536,5000,82,"failed",False,False,False,False,1429928286,1433987952,1438821915,1438821900,273,"Playing Cards",389394345,2411457,"CO","PIXELS Playing Cards, SECOND DECK AVAILABLE NOW + DICE","""PIXELS"" Playing Cards for Video Game Enthusiasts! Collectors Art is based on modern 8 bit RPG s. Prepare for the nostalgia!","pixels-bicycle-style-playing-cards-8-bit-retro"
1455832815,2599.44,2000,96,"successful",True,False,False,False,1279602905,1279606809,1280635306,1280635140,34,"Tabletop Games",1170792018,2434789,"PA","Forsaken Lands II Poster Map","This is a pre-order funding drive to help cover the printing costs of my newest 2-sided miniatures-scale poster map! Backers get free shipping!","forsaken-lands-ii-poster-map"
1103412911,427,20000,3,"failed",False,False,False,False,1422211021,1422807589,1425399594,1425399589,21,"Digital Art",2011411442,2386251,"CA","Crystal Inspirations","I bring out the hidden universes in crystals and other objects.","crystal-inspirations"
1613663602,1661,5500,15,"live",False,False,True,False,1414117041,1513754846,1513754847,1516432260,261,"Typography",1055365922,2464467,"CA","Las Calaveras ~ A font collection curated by dead Mexicans","100 year old typefaces used by A. Vanegas Arroyo's revolutionary print shop including designs by José G. Posada & Manuel Manilla.","las-calaveras"
1883896423,59,10000,5,"failed",False,False,False,False,1421768619,1422221006,1424813006,1424813006,264,"Childrenswear",1629275994,2452078,"MN","Rosey Baby Cheeks~ Modern Chic Baby Items","I am trying to start up a business that makes baby necessities that are modern, chic and affordable.","rosey-baby-cheeks-modern-chic-baby-items"
1833975615,8075,7500,129,"successful",True,False,False,False,1441938176,1445369637,1447988400,1447988400,337,"Gadgets",606885277,2477737,"AZ","Nørre Tail Scale™: The most incredible way to measure fish.","The Tail Scale™ is a remarkable new way to estimate fish length and weight. It's simple, fast, & better for the health of the fish.","nrre-tail-scaletm-the-most-incredible-way-to-measu"
111578821,0,6000,0,"failed",False,False,False,False,1423238752,1438577909,1441314300,1441314300,278,"People",795522276,2424766,"TX","I'm Me Now","Contrary to what's in pop culture, people aren't perfect. My goal is to highlight those differences that make everyone unique.","im-me-now"
799450670,39,1000,3,"failed",False,False,False,False,1409251861,1409440875,1412032875,1412032875,343,"Candles",729921893,2503523,"WA","Mason Jar Collection","Handcrafted 100% Soy Candles. Candles are 14 ounces in a 16 ounce wide mouth mason jar and can go with any decor in your home.","mason-jar-collection"
1289914066,755,25000,6,"failed",False,False,False,False,1348875123,1350671429,1353267033,1353267029,45,"Art Books",527719088,2453859,"CA","Above the PCH","I want to create a book of aerial images of the Pacific Coast Highway and the towns that connect along this beautiful route.","above-the-pch"
1507652481,10094,9600,188,"successful",True,False,False,False,1424712753,1429851675,1433217611,1433217600,252,"Graphic Novels",282668474,2379574,"IL","YI SOON SHIN: FALLEN AVENGER #4","All that stood against an invading army of samurai was one man who could not be defeated in battle.","yi-soon-shin-fallen-avenger-4"
